epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0782,1.48431,4.04498,1.14703,0,0,0,0,1.49266,3.9201,1.05774,3.75e-05,3.75e-05,3.75e-05
2,47.6202,1.50662,3.82091,1.17177,0.00367,0.25,0.00466,0.00132,1.04021,3.8359,0.89955,8.66338e-05,8.66338e-05,8.66338e-05
3,69.5588,1.18745,3.11663,1.03602,0.00726,0.75,0.25164,0.1234,1.01078,3.74922,0.85556,0.000134777,0.000134777,0.000134777
4,91.059,1.1818,2.4441,1.00846,0.00761,0.875,0.28384,0.1715,1.08061,3.49327,0.8511,0.000181931,0.000181931,0.000181931
5,112.627,1.21951,2.13195,1.02979,0.00764,0.875,0.30388,0.19711,0.96825,3.36196,0.81641,0.000228095,0.000228095,0.000228095
6,134.179,1.20317,2.18605,1.01456,0.00769,0.875,0.30055,0.19714,0.95362,3.30898,0.8206,0.000273269,0.000273269,0.000273269
7,155.884,1.09045,1.77473,0.99631,0.0081,0.875,0.29829,0.20982,0.8649,3.22127,0.80636,0.000317452,0.000317452,0.000317452
8,177.46,0.99488,1.76483,0.94073,0.00816,0.875,0.32533,0.2472,0.87117,3.12264,0.80868,0.000360646,0.000360646,0.000360646
9,198.962,1.05222,1.72142,0.9759,0.00841,0.875,0.36124,0.25152,0.99267,3.06969,0.818,0.00040285,0.00040285,0.00040285
10,220.427,1.12867,1.68971,1.00093,0.00787,0.875,0.3965,0.27714,0.92164,3.11181,0.81991,0.000444064,0.000444064,0.000444064
11,245.641,1.15371,1.56961,0.94804,0.00773,0.875,0.38086,0.21493,0.91098,3.14321,0.84632,0.000484288,0.000484288,0.000484288
12,270.317,1.09687,1.70348,0.98896,0.00761,0.875,0.40553,0.24523,0.86368,3.17114,0.83812,0.000523521,0.000523521,0.000523521
13,294.67,1.03168,1.54979,0.97402,0.00724,0.75,0.41241,0.27345,0.90078,3.14257,0.84178,0.000561765,0.000561765,0.000561765
